sep=,
DeviceTag:,Xsens DOT7
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-17_11:42:38_431 GMT+8
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
16045,1800034614,24.892509,-25.719902,-56.269989,0.040074,0.087870,-0.151411,1.764837,-2.039757,2.523767
16046,1800051281,24.889139,-25.733265,-56.247482,0.027046,0.098688,-0.154560,2.252643,-1.771925,2.501675
16047,1800067948,24.868280,-25.729939,-56.223183,0.115965,0.092002,-0.196020,1.248305,-0.823282,2.170695
16048,1800084615,24.833883,-25.724697,-56.195168,0.141804,0.087864,-0.184313,0.529139,-0.635541,2.307275
16049,1800101282,24.806067,-25.729780,-56.175301,0.180553,0.051283,-0.205095,0.708825,-1.383201,2.169069
16050,1800117949,24.793043,-25.740305,-56.161179,0.093977,0.064667,-0.215717,1.443641,-1.809460,2.025228
16051,1800134616,24.793306,-25.747623,-56.156807,0.032837,0.086860,-0.180823,1.983672,-1.855589,1.469023
16052,1800151283,24.793890,-25.755909,-56.152412,0.038193,0.049084,-0.190261,2.001895,-1.908646,1.494469
16053,1800167950,24.790224,-25.759884,-56.148865,-0.011149,0.060542,-0.187902,1.723933,-1.693589,1.345685
16054,1800184617,24.775295,-25.764380,-56.142746,-0.003738,-0.004707,-0.200135,1.112520,-1.664313,1.486529
16055,1800201284,24.768900,-25.761713,-56.136230,0.011972,0.022354,-0.250551,1.635646,-1.264819,1.327000
16056,1800217951,24.767303,-25.754021,-56.132759,0.018595,-0.019400,-0.195539,1.842456,-1.060583,1.052471
16057,1800234618,24.761536,-25.757013,-56.130665,0.055762,-0.041810,-0.142262,1.553749,-1.674738,1.250854
16058,1800251285,24.750219,-25.778503,-56.134666,0.045125,-0.039825,-0.219460,1.061665,-2.818920,1.418963
16059,1800267952,24.734087,-25.806177,-56.130878,0.014612,0.005210,-0.205544,0.973968,-2.979781,1.955011
16060,1800284619,24.725138,-25.832716,-56.120560,-0.057246,0.010919,-0.238806,1.575252,-2.770078,2.248827
16061,1800301286,24.699652,-25.830023,-56.095825,-0.086907,0.036337,-0.199020,0.959420,-0.852852,2.222190
16062,1800317953,24.667463,-25.817995,-56.067276,-0.074302,0.005699,-0.081298,0.656614,-0.259764,2.177073
16063,1800334620,24.631039,-25.812515,-56.033501,0.050627,0.032439,-0.097124,0.538475,-0.500421,2.597762
16064,1800351287,24.600395,-25.813654,-55.996525,0.035223,0.062454,-0.139338,0.967116,-0.790536,2.922210
16065,1800367954,24.575239,-25.823389,-55.970112,0.000636,0.039840,-0.133478,1.019827,-1.498471,2.621197
16066,1800384621,24.544558,-25.840082,-55.952488,0.084341,0.017665,-0.168418,0.456834,-2.076831,2.363137
16067,1800401288,24.520800,-25.868387,-55.943634,0.108671,0.054403,-0.217176,0.640849,-2.906914,2.220794
16068,1800417955,24.503532,-25.895655,-55.942406,0.059013,0.024831,-0.229671,0.828667,-3.021658,1.822555
16069,1800434622,24.488220,-25.907284,-55.948498,-0.004666,0.063657,-0.277986,0.752149,-2.332011,1.073921
16070,1800451289,24.460543,-25.898237,-55.937847,0.036900,-0.000772,-0.174589,0.447908,-0.829198,1.382913
16071,1800467956,24.435812,-25.895599,-55.921825,-0.001031,0.001125,-0.135675,0.764353,-1.059162,1.806201
16072,1800484623,24.422012,-25.905373,-55.907146,0.033321,0.020479,-0.109437,1.384719,-1.767174,2.051289
16073,1800501290,24.411480,-25.920744,-55.894810,-0.009415,0.022910,-0.120364,1.517533,-2.126020,2.074366
16074,1800517957,24.403622,-25.931782,-55.887558,-0.043930,0.033074,-0.111583,1.543645,-2.003361,1.716787
16075,1800534624,24.405447,-25.938675,-55.876137,-0.001333,0.028067,-0.220292,2.233177,-1.685098,1.818585
16076,1800551291,24.420891,-25.957796,-55.871994,0.046973,0.048929,-0.276523,2.859101,-2.515141,1.767103
16077,1800567958,24.427128,-25.973606,-55.862602,0.074126,0.074649,-0.307947,2.443382,-2.217381,1.944689
16078,1800584625,24.441061,-25.978745,-55.852341,0.006265,0.058028,-0.242854,2.925668,-1.615252,1.721487
16079,1800601292,24.444534,-25.983915,-55.837864,-0.034750,-0.012287,-0.133828,2.407677,-1.523674,1.931076
16080,1800617959,24.425362,-25.991865,-55.816593,-0.019431,0.014459,-0.174579,1.227367,-1.524173,2.332773
16081,1800634626,24.385950,-25.989248,-55.774326,-0.041723,-0.028220,-0.160748,0.563524,-0.480853,3.103138
16082,1800651293,24.350361,-25.981897,-55.717323,0.014706,-0.032797,-0.193825,1.181649,0.105326,3.711684
16083,1800667960,24.337734,-25.976892,-55.664314,0.015309,-0.007687,-0.067258,2.452026,-0.112427,3.574195
16084,1800684627,24.320774,-25.984152,-55.616508,-0.013034,-0.032802,-0.140699,2.055323,-0.899185,3.622564
16085,1800701294,24.309517,-25.996466,-55.581017,0.008694,-0.016055,-0.175896,2.073214,-1.449705,3.142071
16086,1800717961,24.297981,-26.006729,-55.553024,-0.000417,-0.055246,-0.225412,1.859757,-1.504759,2.724455
16087,1800734628,24.285391,-26.021626,-55.530315,0.050764,-0.006244,-0.311143,1.656623,-1.875157,2.577490
16088,1800751295,24.281244,-26.021381,-55.507553,-0.007900,-0.008309,-0.211736,2.163358,-1.046176,2.207488
16089,1800767962,24.277603,-26.025631,-55.483871,-0.021966,-0.001244,-0.196798,2.218194,-1.271427,2.363341
16090,1800784629,24.271637,-26.022751,-55.451576,-0.046472,-0.002773,-0.157725,2.304893,-0.691735,2.611541
16091,1800801296,24.254602,-26.027931,-55.410351,-0.051213,0.018116,-0.148220,1.875343,-0.934761,3.250527
16092,1800817963,24.218491,-26.030405,-55.369331,-0.012939,0.038590,-0.211047,0.724551,-0.792713,3.173061
16093,1800834630,24.197929,-26.021126,-55.329163,0.013554,0.006478,-0.156916,1.634750,-0.171067,2.845039
16094,1800851297,24.192104,-26.036308,-55.299816,0.032713,0.003248,-0.135761,2.233293,-1.748887,2.913823
16095,1800867964,24.177206,-26.046860,-55.275246,0.014475,0.020020,-0.248742,1.562394,-1.601460,2.564427
16096,1800884631,24.140120,-26.040144,-55.238068,-0.000790,0.030343,-0.178548,0.562282,-0.378607,2.762605
16097,1800901298,24.123056,-26.031294,-55.204685,-0.032234,0.017424,-0.104176,1.662706,-0.346668,2.524714
16098,1800917965,24.101553,-26.021145,-55.175606,-0.013752,0.014384,-0.148892,1.282421,-0.371026,2.282098
16099,1800934632,24.060616,-26.018965,-55.153675,0.031937,0.006290,-0.086390,-0.072907,-0.965842,2.127717
16100,1800951299,24.029211,-26.031696,-55.145363,-0.006928,-0.067706,-0.180271,0.139929,-2.082633,1.821582
16101,1800967966,24.025255,-26.057133,-55.150375,0.054924,-0.047540,-0.242940,1.436226,-3.070437,1.477334
16102,1800984633,24.021336,-26.068401,-55.140400,0.012750,-0.019514,-0.254207,1.831571,-1.965032,1.865904
16103,1801001300,24.031199,-26.078722,-55.133907,0.013669,-0.020773,-0.226463,2.566143,-1.989428,1.672465
16104,1801017967,24.029825,-26.088444,-55.122498,0.060815,0.017829,-0.220740,2.021476,-1.847969,1.901032
16105,1801034634,24.016788,-26.101175,-55.111038,0.096178,-0.014321,-0.255553,1.321097,-2.012659,1.975949
16106,1801051301,23.995117,-26.105227,-55.101406,0.051210,0.002733,-0.302359,0.754236,-1.575412,1.675679
16107,1801067968,23.968916,-26.096600,-55.084187,-0.060238,-0.048821,-0.073770,0.680933,-0.714620,1.740620
16108,1801084635,23.960314,-26.106197,-55.076332,-0.013162,-0.046700,-0.103960,1.490243,-1.918916,1.723536
16109,1801101302,23.955519,-26.120687,-55.080059,0.023225,-0.006156,-0.213669,1.413085,-2.440391,1.272215
16110,1801117969,23.958504,-26.121389,-55.079952,-0.001944,-0.020642,-0.198533,1.979497,-1.600870,1.125864
16111,1801134636,23.963068,-26.121567,-55.080280,-0.029738,0.007713,-0.160957,2.062047,-1.581251,1.090595
16112,1801151303,23.959740,-26.120871,-55.073448,-0.034812,-0.030781,-0.104038,1.777912,-1.377310,1.423227
16113,1801167970,23.962408,-26.134825,-55.073334,0.058271,-0.020957,-0.138371,1.960031,-2.327388,1.449942
16114,1801184637,23.961502,-26.151865,-55.074093,0.100147,0.050377,-0.276978,1.721884,-2.515641,1.481419
16115,1801201304,23.965982,-26.159138,-55.084171,0.063169,0.025269,-0.243072,1.796443,-2.183022,0.786573
16116,1801217971,23.968662,-26.163054,-55.093472,0.133513,0.057943,-0.294217,1.707464,-1.982001,0.743095
16117,1801234638,24.012657,-26.153276,-55.108894,0.155220,0.093552,-0.322420,4.022135,-1.365323,0.108732
16118,1801251305,24.128454,-26.119883,-55.175415,0.274533,0.214441,-0.361834,6.977252,-1.195370,-2.980819
16119,1801267972,24.352427,-26.071516,-55.390594,0.528550,0.393373,-0.183770,9.541730,-3.677077,-10.653148
16120,1801284639,24.714497,-26.040253,-55.844318,0.691267,0.216290,0.103419,11.540195,-10.010916,-21.913395
16121,1801301306,25.217047,-26.070940,-56.544365,1.087461,0.145297,0.251002,13.467762,-19.154190,-32.313469
16122,1801317973,25.860556,-26.181089,-57.393177,1.805824,0.003125,-0.058552,17.935812,-27.226728,-37.288101
16123,1801334640,26.900650,-26.502237,-58.432556,2.287606,-0.103937,-0.174752,36.463688,-43.630493,-40.381508
16124,1801351307,27.924313,-26.796448,-59.490704,2.745038,0.176958,0.332747,34.648884,-43.313042,-41.120682
16125,1801367974,28.730354,-27.284840,-60.852039,4.478996,1.372162,1.638927,12.902860,-61.814087,-49.003189
16126,1801384641,28.999966,-28.144976,-62.326508,6.149221,-0.070042,2.011314,-23.347218,-84.482330,-42.523014
