PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
48,1533412615,-95.006157,-41.420288,88.68428,-0.334753,0.065121,-0.063916,-7.407992,13.717923,-6.272709
49,1533429282,-94.867195,-41.439556,88.537445,-0.371841,0.137652,-0.006536,2.705566,6.835883,-0.26066
50,1533445949,-94.763657,-41.435768,88.493942,-0.173347,0.21426,0.024352,4.609031,2.020983,0.717629
51,1533462616,-94.671173,-41.390575,88.492165,-0.120142,0.276545,-0.075316,5.568195,-0.083549,3.057075
52,1533479283,-94.561668,-41.301018,88.515671,-0.11651,0.240719,-0.011655,7.56687,-1.45297,5.652896
53,1533495950,-94.461517,-41.233406,88.550056,-0.105437,0.142427,0.106898,7.414385,-1.848674,4.327939
54,1533512617,-94.387268,-41.193413,88.590111,-0.166109,0.043959,0.192326,6.067016,-1.985856,2.661192
55,1533529284,-94.325439,-41.183357,88.666084,-0.260035,-0.046595,0.317987,6.715747,-3.483418,0.73422
56,1533545951,-94.271858,-41.18832,88.77523,-0.109669,0.044283,0.176605,7.49901,-4.935069,-0.304509
57,1533562618,-94.157509,-41.185356,88.876442,-0.061888,0.121997,0.139431,10.819122,-4.623261,0.192755
58,1533579285,-94.039322,-41.170681,88.988518,0.01902,0.146925,0.066606,11.473197,-5.165828,0.868866
59,1533595952,-93.98156,-41.1516,89.103859,0.076371,0.120972,0.059078,7.98076,-5.328186,1.138607
60,1533612619,-93.983749,-41.136139,89.211029,0.052902,0.046642,0.049846,4.070326,-4.935362,0.954054
61,1533629286,-93.993637,-41.122314,89.327477,0.072778,-0.001112,0.00934,3.982999,-5.339698,0.816808
62,1533645953,-93.966965,-41.106449,89.433723,0.113192,0.029811,-0.006238,5.782881,-4.881193,0.957409
63,1533662620,-93.91217,-41.094536,89.535088,0.038054,0.016339,0.013041,7.289152,-4.630764,0.730494
64,1533679287,-93.840836,-41.065681,89.634163,0.111528,0.038884,-0.057664,8.195291,-4.592973,1.745781
65,1533695954,-93.748245,-41.00444,89.71785,0.141619,0.042621,-0.017861,8.872762,-4.016124,3.730997
66,1533712621,-93.683411,-40.964268,89.762459,0.133381,0.021225,0.078942,5.680634,-2.153298,2.583739
67,1533729288,-93.655464,-40.956402,89.782616,0.092315,0.0553,0.075155,2.51762,-0.909725,0.714076
68,1533745955,-93.616455,-40.970509,89.775314,0.086308,0.134651,0.055536,2.10934,0.421617,-0.52506
69,1533762622,-93.54702,-40.972996,89.761566,0.035389,0.177135,0.043431,3.685674,0.672788,0.197186
70,1533779289,-93.477783,-40.954216,89.7761,-0.040159,0.143589,0.080143,4.79026,-0.681311,1.401021
71,1533795956,-93.433937,-40.9198,89.827858,-0.076845,0.11558,0.127911,4.723987,-2.426112,2.243436
72,1533812623,-93.418938,-40.900543,89.88752,0.067741,0.123283,0.103001,3.294184,-2.736999,1.317946
73,1533829290,-93.376297,-40.931835,89.882835,0.185715,0.091449,0.017298,2.428615,0.359084,-1.529782
74,1533845957,-93.257065,-40.999725,89.826256,0.33223,0.097883,-0.18771,4.997865,2.842863,-3.58501
75,1533862624,-93.021835,-41.112911,89.714149,0.531687,0.080284,-0.286643,9.790658,5.508251,-6.168489
76,1533879291,-92.513954,-41.332458,89.46505,0.976787,-0.039185,-0.346026,20.758663,11.973819,-12.278963
77,1533895958,-91.483551,-41.804329,88.868156,1.41575,-0.288224,-0.393437,38.267906,27.942228,-27.033703
78,1533912625,-89.621735,-42.567989,87.805199,1.742167,-0.368741,-0.673376,69.183678,47.975452,-45.069656
79,1533929292,-86.700768,-43.661049,86.140297,2.067138,-0.410732,-0.795012,107.394737,71.183472,-67.637444
80,1533945959,-82.548958,-44.980347,83.640732,1.9269,-0.594419,-0.567893,144.842621,99.967514,-88.650436
81,1533962626,-77.177475,-46.376881,80.253983,1.296728,-0.699205,0.100018,177.500824,125.711708,-107.319336
